productType,productName,price,url,description,terrain,abilityLevel,rockerType,turningRadius,tailType,materials,warranty
Ski,Line Skis Pandora 84 Skis - Women's 2023,$449.95,https://www.evo.com/skis/line-pandora-84-womens-2023,"The Line Skis Pandora 84 Skis are a sunny day ski done in a special way. The narrow waist, light swing weight, and tight turn radius make these things an absolute joy to lay across groomers. They're incredibly smooth on edge, easy to bend into a variety of turn shapes, and they provide tons of rebound and energy coming out of each turn. If your ski days consist mostly of zooming around groomers and playing through the occasional mogul field or tree line, the Pandora 84 is the ski for you.",All-Mountain,Intermediate-Advanced,Rocker/Camber/Rocker,Short,Partial Twin Tip,"Carbon, Wood",2 Years
Ski,Line Skis Wallisch Shorty Skis ​+ FTD 4.5 Bindings - Kids' 2023,$339.95,https://www.evo.com/ski-packages/line-skis-wallisch-shorty-ftd-45-bindings-little-boys,"The Line Skis Wallisch Shorty Skis + FTD 4.5 Bindings were made for all the ripping kids who spend every weekend in the terrain park. These junior sized park sticks are built to be competition ready, helping the next generation of freestyle skiers progress the sport to places none of the old folks could ever dream of. Modeled after the full-sized TW pro model, these skis are poppy, balanced, and bomber for all of their freestyle needs.",Park & Pipe,Intermediate-Advanced,Rocker/Camber/Rocker,Short,Full Twin Tip,Wood,2 Years
Ski,K2 Mindbender 90 C Skis 2023,$499.95,https://www.evo.com/skis/k2-mindbender-90c,"Harnessing some high energy, the K2 Mindbender 90C Skis are ready to carve up the resort with a light and playful feel. These skis utilize K2's Carbon Spectral Braid technology, allowing them to bend and snap through terrain without having to incorporate the added weight of a Titanal laminate. If you're searching for a fun, energetic ride on the hill, these planks are where its at.",All-Mountain,Intermediate-Advanced,Rocker/Camber/Rocker,Medium,Flat,"Carbon, Wood",2 Years
Ski,K2 Mindbender 106 C Skis - Women's 2023,$649.95,https://www.evo.com/skis/k2-mindbender-106-c-womens,"Lady chargers, this one is for you. The K2 Mindbender 106 C Skis are the dynamic, do-it-all, women’s-specific design that rips in every set of conditions the mountain can throw at you. The Spectral Braid technology utilizes carbon reinforcement to prioritize stability and control at faster speeds while remaining easy to maneuver no matter where you are on the slopes. The mid-fat waist and lightweight core are the perfect combo for tearing up groomers or kicking it into high gear to take a dive in the deep end. Wherever your mountain motivation takes you, the K2 Mindbender 106 C Skis are ready for take-off.","All-Mountain, Powder",Intermediate-Advanced,Rocker/Camber/Rocker,Short,Flat,"Carbon, Metal, Wood",2 Years
Ski,Head Oblivion 79 Skis 2023,$349.00,https://www.evo.com/skis/head-oblivion-79,"The new Head Oblivion 79 Skis are designed for the skier who is just as likely to spend the day in the park as anywhere else on the mountain, but doesn't want to be limited to a strictly-park symmetrical twin design. Wood Core twin tip construction with PNP rocker means you can handle it all, all of the time, forward or switch, with no worries.","Park & Pipe, All-Mountain",Intermediate-Advanced,Rocker/Camber/Rocker,Medium,Partial Twin Tip,Wood,1 Year
Ski,Völkl M6 Mantra Skis 2023,$749.99,https://www.evo.com/skis/volkl-m6-mantra-2023,"The Völkl M6 Mantra Skis have ruled the expert all-mountain roost for years, and they show no signs of giving up their perch soon. The addition of Tailored Carbon Tips and Tailored Titanal Frame elements made the M5, already a great ski, even more predictable and capable, and the M6 marches on with no changes other than graphics. If you're looking for the ultimate in luxurious power with edgehold for miles, the M6 is hard to beat.",All-Mountain,Advanced-Expert,Rocker/Camber/Rocker,Medium,Partial Twin Tip,"Carbon, Metal, Wood",1 Year
Ski,Völkl Blaze 86 Skis ​+ vMotion 11 GW Bindings 2023,$649.99,https://www.evo.com/ski-packages/volkl-blaze-86-skis-vmotion-11-gw-bindings,"The Völkl Blaze 86 Skis + Vmotion 11 GW Bindings come in hot with an unbeatable combination of light weight and confident performance. Touring ski weight without taking the hit of sloppy and weak downhill performance is the name of the game, and Völkl nails it in the Blaze series. The combination of 3D Radius sidecut, traditional full sidewall construction, and reasonably stiff torsional flex gets it done and makes this a perfect ""light"" alpine ski choice or quiver of one for those who tour part time.",All-Mountain,Intermediate-Advanced,Rocker/Camber/Rocker,Short,Partial Twin Tip,Wood,1 Year
Ski,Völkl Blaze 86 W Skis ​+ vMotion 10 GW Bindings - Women's 2023,$649.99,https://www.evo.com/ski-packages/volkl-blaze-86-w-skis-vmotion-10-gw-bindings-womens,"Light as a feather but ready for any challenge, the Völkl Blaze 86 W Skis + Vmotion 10 GW Bindings are a great choice for quick bump runs, slashing through the trees, and heading out of bounds through tight terrain. A Multilayer Woodcore Light construction with 3D Radius Sidecut and full sidewalls contribute to make this one of the most versatile and dependable light skis out there; add the dependable Marker vMotion 10 GW binding and call it good.",All-Mountain,Intermediate-Advanced,Rocker/Camber/Rocker,Short,Partial Twin Tip,Wood,1 Year
Ski,Völkl Revolt 121 Skis 2023,$699.99,https://www.evo.com/skis/volkl-revolt-121-2023,"By now you're no doubt seen Markus Eder's Ultimate video and marvelled at his ability to stomp monster lines and line up those huge crevasse-spanning airs. Sure, Markus has next-level skills most of us can only dream of, but a big part of the puzzle is his equipment, and as pretty much everyone is aware, his skis for both filming and FWT events are the Völkl Revolt 121 Skis. When you aim big, and neither you nor your skis can afford a moment of hesitation or weakness, the Revolt 121 will always step up. Tons of float, no real speed limit to hinder you, and a sick new graphic add up to a quiver essential.","Big Mountain, Powder",Advanced-Expert,Rocker/Camber/Rocker,Medium,Full Twin Tip,Wood,1 Year
Ski,Head Shape V2 Skis ​+ PR 11 GW Bindings 2023,$499.00,https://www.evo.com/ski-packages/head-shape-v2-skis-pr-11-gw-bindings,"An easy introduction to the world of carving, the Head Shape V2 Skis + PR 11 GW Bindings let you get the feel of making quality turns without the hooky feel of more advanced ski designs. They're perfect for those looking to perfect their frontside technique, and their light and lively personality makes every run a blast.",All-Mountain,Beginner-Intermediate,Rocker/Camber,Short,Flat,Composite,1 Year
Ski,Völkl Blaze 106 Skis 2023,$649.99,https://www.evo.com/skis/volkl-blaze-106-2023,"Tired of researching light mid-fats that can double as touring skis? Put down the Google and jump on the Völkl Blaze 106 Skis, you won't regret it for a minute. Light enough for long days in the saddle (1593 grams at 165cm) but not so light as to compromise edgehold and security when it gets sketchy, the Blaze 106 exemplifies Völkl's obsessive attitude toward quality and performance. Built around a Hybrid Multilayer Woodcore with full sidewall construction and Suspension Tips and Tails for smooth riding in all conditions, the Blaze 106 brings the heat to the backcountry.","All-Mountain, Big Mountain, Alpine Touring",Advanced-Expert,Rocker/Camber/Rocker,Short,Partial Twin Tip,"Metal, Wood",1 Year
Ski,Blizzard Sheeva 9 Skis - Women's,$649.95,https://www.evo.com/outlet/skis/blizzard-sheeva-9-womens-2023,"The Blizzard Sheeva 9 Skis went largely undiscovered for the first few years of their existence. Then something amazing happened. It didn't snow in much of North America, and the powder oriented Sheeva 11 disciples discovered its little 92-waisted sister could rip a carve turned as well as many flat-tailed ""carver"" skis and still not humble you in bumps, re-frozen corn, and tight trees. The migration was on, and many hard chargers (including many of the evo crew) found the Sheeva 9 was the ideal tool for everyday good times.",All-Mountain,Intermediate-Advanced,Rocker/Camber/Rocker,Short,Partial Twin Tip,"Carbon, Metal, Wood",1 Year
Ski,Rossignol Experience W 80 Ca Skis ​+ Xpress 11 GW Bindings - Women's 2022,$699.95,https://www.evo.com/ski-packages/rossignol-experience-w-80-ca-skis-xpress-11-gw-bindings-womens,"Get your groom on with the Rossignol Experience W 80 Ca Skis + Xpress 11 GW Bindings, a light and nimble solution to front-side skiing that turns like a dream and is versatile enough to handle a wide variety of snow conditions. Rossignol keeps the Experience W 80 light and lively, combining a featherweight Paulownia wood core with a carbon insert for energy and snap, and you'll love this ski performs on harder snow.",All-Mountain,Intermediate-Advanced,Rocker/Camber,Short,Flat,"Carbon, Wood",1 Year
Ski,Blizzard Sheeva 10 Skis - Women's,$699.95,https://www.evo.com/outlet/skis/blizzard-sheeva-10-womens-2023,"The most versatile option in the remarkable Sheeva series, the Blizzard Sheeva 10 Skis split the difference in waist width between the ""11"" and the ""9"" and come up with a ski that doesn't have ""bad snow conditions"" in its vocabulary. Pow? Sure. Groomers? No problem. Chunky Monkey re-frozen mank? Oh yeah! If you're up for it, the Sheeva 10 certainly is. Carbon Fiipcore D.R.T. construction gives this ski the combination of power and forgiveness you (and everyone else) have been looking for. Join the legions of satisfied skiers who've settled on the Sheeva 10 and see what real all-mountain versatility is all about.","All-Mountain, Big Mountain",Intermediate-Advanced,Rocker/Camber/Rocker,Short,Partial Twin Tip,"Carbon, Metal, Wood",1 Year
Ski,Rossignol Experience 76 Skis ​+ Xpress 10 GW Bindings 2023,$479.95,https://www.evo.com/ski-packages/rossignol-experience-76-skis-xpress-10-gw-bindings-2022,"Tired of spending an hour of your ski day waiting in line for rentals? Get the Rossignol Experience 76 Skis + Xpress 10 GW Bindings and head ""Direct To Lift"" any time you choose with confidence that your setup will perform just the way you like it each time you ski. The Experience 76 is a quality, wood core ski with a forgiving and versatile character, designed to get you up and on your way as easily as possible.",All-Mountain,Beginner-Intermediate,Rocker/Camber,Short,Flat,Wood,1 Year
Ski,K2 Disruption 75 Alliance Skis ​+ ERP 10 Quikclik Bindings - Women's,$399.95,https://www.evo.com/outlet/ski-packages/k2-disruption-75-alliance-skis-erp-10-quikclik-bindings-womens,"Click into the K2 Disruption 75 Alliance Skis + ERP 10 Quikclik Bindings with total confidence. These all-mountain focused skis allow you to develop the skills needed to tackle the next hurdle, whether that be a black diamond or a green circle. Its nimble and forgiving design will keep you coming back for more and leave you with enough energy to enjoy après.","Carving, All-Mountain",Beginner-Intermediate,Rocker/Camber/Rocker,Short,Flat,Composite,2 Years
Ski,Rossignol Experience W 86 Basalt Skis - Women's 2022,$599.95,https://www.evo.com/skis/rossignol-experience-w-86-basalt-womens-2022,"With an emphasis on light and snappy performance, the Rossignol Experience W 86 Basalt Skis are a great choice for corduroy connoisseurs who like to play in the fluffy stuff from time to time. A super light Paulownia core with Basalt Fiber for strength and dampening delivers top shelf performance without the added weight of metal, while an all mountain friendly 86mm waist width means the Experience 86 Basalt is fully capable of exploring off trail when the mood strikes.",All-Mountain,Intermediate-Advanced,Rocker/Camber,Short,Flat,"Basalt, Wood",2 Years
Ski,Salomon QST Stella 106 Skis - Women's 2023,$749.95,https://www.evo.com/skis/salomon-qst-stella-106-womens-2023,"The Salomon QST Stella 106 Skis are refined perfection in a soft snow freeride tool. They're nimble, lightweight, and directional, perfect for crushing around the resort or dancing through trees in the side country. They're dependable and fun, and the level of technical detail put into them is simply astounding. Cutout sections in the tips are filled with cork for lightweight dampening, and a blend of flax and carbon fiber is placed underfoot. The full poplar core lends the stability and power needed for high speed performance, and the tapered tips and twin rocker profile keeps them loose and bouncy. Find out why so many skiers of all levels turn to the Stella 106 when there's fresh snow to be slayed!",All-Mountain,Intermediate-Advanced,Rocker/Camber/Rocker,Medium,Partial Twin Tip,"Carbon, Flax, Wood",2 Years
Ski,Atomic Maverick 83 Skis ​+ M10 GW Bindings 2023,$499.95,https://www.evo.com/ski-packages/atomic-maverick-83-skis-m-10-gw-bindings,"The Atomic Maverick 83 Skis + M10 GW Bindings may be Atomic's entry-level package, but it's no slouch. The crew in Austria don't build wimpy skis; this is a legit setup built for progressing skiers, with Atomic's proprietary Flow Profile shaping to help you along. Why spend any more time in the rental line when you can just buy this ski and hit the slopes?",All-Mountain,Beginner-Intermediate,Rocker/Camber/Rocker,Short,Flat,Wood,2 Years
Ski,Armada ARW 106 UL Skis 2023,$749.95,https://www.evo.com/skis/armada-arw-106-ul-womens,"The Armada ARW 106 UL Skis are versatile, lightweight, and fun. For a great many skiers, this is the fabled one ski quiver. Wide enough for powder, narrow enough for groomers, sturdy enough for business, and playful enough for pleasure. They have Armada's freestyle twist on the all-mountain twin in the way of Smear Teach beveled tips for extra surfy buttery goodness, and they're made with an ultralight layup with that makes them very amenable to pairing with a sturdy set of touring bindings and taking to the the backcountry as well.",All-Mountain,Intermediate-Advanced,Rocker/Camber/Rocker,Medium,Full Twin Tip,Wood,2 Years
Ski,Atomic Maverick 100 Ti Skis 2023,$749.95,https://www.evo.com/skis/atomic-maverick-100-ti-2023,"If you're seeking a no speed limit, no holds barred daily driver that you can grab without wasting time to pore over the forecast, check out the Atomic Maverick 100 TI Skis. Arriving with significant design input from across the ski industry spectrum, they're built with Atomic's latest technological advancements, including the supremely balanced OMatic core and an all-new Flow Profile built for precise control in a wide array of conditions. Whether you're jamming groomer runs, powder runs, tree runs, or bump runs - seasoned pro or regular Joe - these things are the real deal!",All-Mountain,Intermediate-Advanced,Rocker/Camber/Rocker,Medium,Flat,"Metal, Wood",2 Years
Ski,Atomic Maven 86 Skis ​+ M10 GW Bindings - Women's 2023,$499.95,https://www.evo.com/ski-packages/atomic-maven-86-skis-m-10-gw-bindings-womens,"Up your ski game in one fell swoop with the Atomic Maven 86 Skis + M10 GW Bindings. The latest development from one of the top companies in the business doesn't mess around, the Maven skis simply deliver smooth versatility in all snow conditions. Combining technologies from their powder skis with Atomic's smooth riding OMatic core gives the Maven 86 an edge, and the M 10 Gripwalk bindings are a natural match.",All-Mountain,Intermediate-Advanced,Rocker/Camber/Rocker,Short,Flat,Wood,2 Years
Ski,Rossignol Experience W 78 Ca Skis ​+ Xpress 10 GW Bindings - Women's 2023,$579.95,https://www.evo.com/ski-packages/rossignol-experience-w-78-ca-skis-xpress-10-gw-bindings-womens,"A perfect pick for your first real ski after an introductory season of rentals, or a starter setup for an ambitious beginner, the Rossignol Experience W 78 Ca Skis + Xpress 10 GW Bindings features a user-friendly character with enough guts to keep in your quiver for several seasons. A solid Poplar wood core and relaxed cap sidewalls give your the best of both performance and ease of turning so you can be on your way in a hurry.",All-Mountain,Beginner-Intermediate,Rocker/Camber,,Flat,"Carbon, Wood",1 Year
Ski,Armada ARV 116 JJ Skis 2023,$749.95,https://www.evo.com/skis/armada-arv-116-jj-2023,"The JJ is a ski with deep roots in ski history, and the Armada ARV 116 JJ Skis is the latest iteration in a long line of genre defining playful powder skis. They're like that one great friend from college: super fun and down to party, but when stuff gets serious, you can really rely on them. They have an al dente flex that's just right, coupled with a playful shape with tons of rocker in the tip and tail for surfing and slashing, plenty of camber under foot for boosting and railing, and Smear Tech 3D beveling so you can get that much looser when the situation calls for it.",Powder,Intermediate-Advanced,Rocker/Camber/Rocker,Medium,Full Twin Tip,Wood,2 Years
Ski,Armada ARV 106 Skis 2023,$699.95,https://www.evo.com/skis/armada-arv-106-2023,"The Armada ARV 106 Skis are fun. They're fast, sturdy all-mountain twins that are designed to let you do whatever you want, whenever you want, without having to worry about the conditions or what skis you've selected from your quiver for the day. They're quick edge to edge on groomer days, stable on landings and at speed, and have enough rocker and surface area to handle the deepest powder days. One thing that sets them apart from other all-mountain freestyle skis is Armada's Smear Tech that's featured in the tips and tails. This 3D beveling makes them surfier in the pow, butterier on the hard pack, and more fun to ride in almost any conditions.",All-Mountain,Intermediate-Advanced,Rocker/Camber/Rocker,Medium,Full Twin Tip,Wood,2 Years
Ski,Atomic Maverick 86 C Skis ​+ M10 GW Binidngs 2023,$599.95,https://www.evo.com/ski-packages/atomic-maverick-86-c-skis-m-10-gw-bindings,"The Atomic Maverick 86 C Skis + M10 GW Bindings set new standards for all-mountain versatility anywhere on the frontside of the mountain. Using a precision-milled poplar wood core with carbon stringers added for liveliness and power, the Maverick 86 C optimizes performance on both hard and soft snow surfaces with its balanced Flow Profile construction - a blend of technologies gleaned from years of experience in every aspect of skiing from racing to freeriding. Make your first ski selection count with the Atomic Maverick 86 C Skis + M10 GW Bindings.",All-Mountain,Intermediate-Advanced,Rocker/Camber/Rocker,Short,Flat,"Carbon, Wood",2 Years
Ski,Elan Ripstick Tour 104 Skis 2023,$799.99,https://www.evo.com/skis/elan-ripstick-tour-104,"The man, the legend, the ski. It's hard to believe the Elan Ripstick Tour 104 Skis are Glen Plake's first signature model, but we can't think of a better candidate. Elan have paid tribute to Plake's mold-breaking style with a ski that combines raw freeride power with incredible agility and maneuverability, all at a touring friendly weight you can take to the skin track. They come with Elan's legendary Amphibio Profile, a light, snappy Tubelite Wood Core, and all new Carbon Bridge Technology for stability and vibration damping. Available in unisex lengths, the only thing missing is a perfectly coifed mohawk.","All-Mountain, Alpine Touring",Advanced-Expert,Rocker/Camber/Rocker,Medium,Partial Twin Tip,"Carbon, Wood",2 Years
Ski,Völkl Kendo 88 Skis 2023,$699.99,https://www.evo.com/skis/volkl-kendo-88-2023,"Just like sending a Rottweiler to obedience school and your dog coming back with a veneer of civility until he really needs to use his teeth, the storied Völkl Kendo 88 Skis get an update that makes them a tad more forgiving at slower speeds without losing any of their grit when the chips are down. That means better slow and mid speed performance, less hookiness at the tip, and still with the tenacious edge grip you expect when you lay the ski over. Völkl gets it done with the addition of Tailored Technology - the Titanal laminate has been sculpted - and Tailored Carbon Tips, and you're the beneficiary.","Carving, All-Mountain",Intermediate-Advanced,Rocker/Camber/Rocker,Medium,Partial Twin Tip,"Carbon, Metal, Wood",1 Year
Ski,Nordica Enforcer 94 Unlimited Skis 2023,$799.99,https://www.evo.com/skis/nordica-enforcer-94-unlimited,"The all new Nordica Enforcer 94 Unlimited Skis are ready to take the touring world by storm. Lightweight, maneuverable, and super efficient on the skin track, they give the classic Enforcer design a gram-conscious makeover that doesn't skimp on downhill performance. Nordica's Carbon Chassis LT brings the heat instead of heavy Titanal, and early rise tip and tail rocker makes them formidable in variable snow while remaining plenty approachable to those looking for a powerful, yet easy to control ski. Whether you're ditching civilization for a Spring tour or just ripping around the sidecountry, the Nordica Enforcer 94 Unlimited Skis deliver the goods.","All-Mountain, Alpine Touring",Advanced-Expert,Rocker/Camber/Rocker,Short,Partial Twin Tip,"Carbon, Wood",1 Year
Ski,Rossignol Rallybird 90 Pro Skis ​+ Xpress 10W GW Bindings - Women's 2024,$479.95,https://www.evo.com/ski-packages/rossignol-rallybird-90-pro-skis-xpress-10w-gw-bindings-womens,"A Rallybird for the fledgling set that delivers adult-level performance to those just getting their wings under them, the Rossignol Rallybird 90 Pro Skis + Xpress 10W GW Bindings take all-mountain excellence to a new level. With an extended Poplar core, the 90 Pro keeps edge control to a max under all conditions so you can let it fly with full confidence.",All-Mountain,Intermediate-Advanced,Rocker/Camber,Short,Flat,Wood,2 Years
Ski,Armada Locator 104 Skis 2023,$799.95,https://www.evo.com/skis/armada-locator-104-2023,"Let's face it. Most people just don't have enough time, money, or garage space for a whole quiver of resort skis AND a whole quiver of touring skis. You might have some powder planks and a hard snow setup for the inbounds, but when it comes to touring skis, you're probably looking for one ski that can do it all. But doing it all in a place like the backcountry, which can grant you the deepest snow, the longest climbs, and the mankiest crud, sometimes all in the same lap, is no small feat. And that's exactly what the Armada Locator 104 Skis are built to do. Coming in at less than 1500 grams per ski, they're insanely lightweight for their size. Pair that with versatile waist width, burly construction, and playful-yet-serious shape, and these things are an incredible jack of all trades for the backcountry. Whether your touring day is long or short, deep or shallow, the Locator 104 is up for the challenge.",Alpine Touring,Advanced-Expert,Rocker/Camber,Long,Partial Twin Tip,"Carbon, Metal, Wood",2 Years
Ski,Nordica Santa Ana 93 Skis - Women's 2023,$699.99,https://www.evo.com/skis/nordica-santa-ana-93-womens-2023,"The Santa Ana line has become something of a cult classic by now. Walk into any ski shop and ask the rippingest woman who works there what her favorite skis are, and you won't have to wait too long for the words ""Nordica Santa Ana"" to come out of her mouth. They're just so good, and with a wide range of widths available, there's one that right for every set of daily conditions. As the mid skinny option in the lineup, the Nordica Santa Ana 93 Skis are an ideal daily driver for east coast riders or those who tend to find themselves in firmer conditions. They're built around a lightweight wood core, and reinforced with a careful blend of carbon fiber and titanal that makes them exceptionally precise, quick, and powerful snapping off turns edge to edge.",All-Mountain,Advanced-Expert,Rocker/Camber/Rocker,Short,Partial Twin Tip,"Carbon, Metal, Wood",1 Year
Ski,Atomic Bent 85 Skis ​+ M10 GW Bindings 2023,$499.95,https://www.evo.com/ski-packages/atomic-bent-85-skis-m-10-gw-bindings,"The Atomic Bent 85 Skis + M 10 GW Bindings are an affordable, sweet looking, and an easy to use package that'll have you shredding the gnar in no time at all. With a maneuverable wood core and directional shape, this ski is versatile, user friendly, and super fun. Bright graphics help you stand out, and the included M10 GW Bindings are adjustable to almost any boot size.",All-Mountain,Beginner-Intermediate,Rocker/Camber/Rocker,Medium,Partial Twin Tip,Wood,2 Years
Ski,Salomon QST Lumen 98 Skis - Women's 2023,$599.99,https://www.evo.com/skis/salomon-qst-lumen-98-womens-2023,"Since its inception, the Salomon QST series has set itself apart as one of the most technologically advanced options on the market. With a unique lightweight laminate blend and cork powered tip cutouts, it's clear the engineers had a field day on these skis. As the most versatile model in the line, the Salomon QST Lumen 98 Skis put all that technology towards the purpose of having the most fun possible on the mountain. They carve clean lines on groomers, float up skin tracks, and pivot effortlessly through bumps and trees. Simple, elegant, and effective, these skis are intuitive riders on any day, no matter the conditions.",All-Mountain,Intermediate-Advanced,Rocker/Camber/Rocker,Short,Partial Twin Tip,"Carbon, Flax, Wood",2 Years
Ski,Line Skis Pandora 94 Skis - Women's 2023,$549.95,https://www.evo.com/skis/line-pandora-94-womens-2023,"The Line Skis Pandora 94 Skis are just plain fun. If you're an all-mountain rider who tends a bit more towards the hard pack, these skis will help make the blank canvases of cord into a place that's brimming with bright potential for colorful swoops and expressive turns. Plus, they're super lightweight, which leads many riders to pair them with tech bindings and take them into the backcountry. Whichever direction you point your Pandora 94s in, a treasure trove of splendor awaits you.","All-Mountain, Alpine Touring",Intermediate-Advanced,Rocker/Camber/Rocker,Short,Partial Twin Tip,"Carbon, Wood",2 Years
Ski,Coalition Snow SOS Skis - Women's 2023,$799.00,https://www.evo.com/skis/coalition-snow-sos-womens,"Like your favorite pair of sandals, the Coalition Snow SOS Skis were made to go anywhere and do anything on the mountain. Whether you're banging out laps on your favorite lift line chute, side slipping the choke, or running groomer laps with pals, its multi radius sidecut and approachable mid-wide waist works with your ability so you can get the most out of your skis. Backwards, forwards, or eating it on a new trick, the Coalition Snow SOS skis are more than just a ski, they're your winter lifeline.","All-Mountain, Big Mountain",Intermediate-Advanced,Rocker/Camber/Rocker,Long,Partial Twin Tip,Wood,Limited Lifetime
Ski,Salomon QST 92 Skis 2023,$549.99,https://www.evo.com/skis/salomon-qst-92-2023,"Once you've got a taste of the Salomon QST 92 Skis, your days on the mountain will never be the same. From East Coast groomers to Northwest volcanoes, these skis can handle any type of terrain with style, fun, and flair. They're made with the highest quality materials available and shaped for smooth edge transfer, tons of pop, and lightweight pivotability.",All-Mountain,Intermediate-Advanced,Rocker/Camber/Rocker,Medium,Partial Twin Tip,"Carbon, Flax, Wood",2 Years
Ski,Black Diamond Helio Recon 105 Skis,$669.95,https://www.evo.com/outlet/skis/black-diamond-helio-recon-105,"The new Black Diamond Helio Recon 105 Skis add a little weight and significant power and stability to last season's Helio 105 Carbon. The Balsa/Flax core is replaced with one of light Poplar and the mostly carbon layup with pre-preg fiberglass, but the weight is still reasonable and the ski performs better in the variable conditions that are all too common in the backcountry.","All-Mountain, Alpine Touring",Advanced-Expert,Rocker/Camber/Rocker,Medium,Flat,Wood,1 Year
Ski,Blizzard Black Pearl 88 Skis - Women's 2024,$699.95,https://www.evo.com/skis/blizzard-black-pearl-88-womens,"The Blizzard Black Pearl 88 Skis have been a fan favorite for many years, and there's no sign of a letup. Smooth, balanced, and supremely capable in variable conditions, they offer a versatile ride that won't let you down on firmer snow, or at faster speeds. And that's not all. This year the Black Pearl 88 has been redesigned with input from Blizzard's trailblazing Women 2 Women project, engineered with a women's specific TrueBlend Flipcore layup that allows you to squeeze the juice out of every run.",All-Mountain,Intermediate-Advanced,Rocker/Camber/Rocker,Short,Partial Twin Tip,"Carbon, Metal, Wood",1 Year
Ski,K2 Disruption 76 Alliance Skis ​+ ERP 10 Quikclik Bindings - Women's,$499.95,https://www.evo.com/outlet/ski-packages/k2-disruption-76-alliance-skis-erp-10-quikclik-bindings-womens,"Turn the page on your skiing career with the K2 Disruption 76 Alliance Skis + ERP 10 Quikclik Bindings. These beginner-friendly skis offer all the tech needed to gain confidence in your carves and bump up the speed limit. Catch Free Rocker paired with an Aspen Light Core makes for a ski that can handle it all, from steeps and bumps to cord and crud.","Carving, All-Mountain",Beginner-Intermediate,Rocker/Camber/Rocker,Short,Flat,Composite,2 Years
Ski,Blizzard Black Pearl 88 Skis - Women's,$649.95,https://www.evo.com/outlet/skis/blizzard-black-pearl-88-womens-2021,"The Blizzard Black Pearl 88 Skis get a makeover alongside the rest of Blizzard's all mountain freeride lineup this year. The most notable change is a brand new TrueBlend Wood Core, giving this all mountain dynamo an even silkier smooth flex. But overall, the famed and feared pirate ship remains the same. She glides over the groomers with style and grace, cuts through choppy seas with ease, and still has enough to keep you afloat when you find some hidden treasure leftover from the last storm.",All-Mountain,Intermediate-Advanced,Rocker/Camber/Rocker,Short,Flat,"Carbon, Metal, Wood",1 Year
Ski,Rossignol Sender 90 Pro Skis ​+ Xpress 10 GW Bindings 2023,$479.95,https://www.evo.com/ski-packages/rossignol-sender-90-pro-skis-xpress-10-gw-bindings,"A launching pad for juniors whose skills are already at an adult level but still want a lighter, more forgiving ride, the Rossignol Sender 90 Pro Skis + Xpress 10 GW Bindings fill a need for quality gear at an affordable price point. A medium 90mm waisted freeride shape gives the Sender 90 Pro a performance advantage in deeper fresh snow, and an Extended Poplar PEFC Wood Core provides solid stability at all speeds.",All-Mountain,Intermediate-Advanced,Rocker/Camber,Short,Flat,Wood,2 Years
Ski,Atomic Maven 83 Skis ​+ M10 GW Bindings - Women's 2023,$399.95,https://www.evo.com/ski-packages/atomic-maven-83-skis-m-10-gw-bindings-womens,"It's time to kick that rental ski habit and get on something you can call your own. Step up to the Atomic Maven 83 Skis + M10 GW Bindings and find your true self. The Maven lineup builds on Atomic's successful Vantage series, adding their Flow Profile construction with OMatic core for lightness and versatile all-mountain confidence. This complete setup includes the new M10 Gripwalk binding for the ultimate in safety and ease of stepping in.",All-Mountain,Intermediate-Advanced,Rocker/Camber/Rocker,Short,Flat,Wood,2 Years
Ski,Blizzard Brahma 82 Skis,$599.95,https://www.evo.com/outlet/skis/blizzard-brahma-82-2021,"As the skinniest offering in Blizzard's all mountain freeride line, the Blizzard Brahma 82 Skis handle the whole mountain with ease thanks to a stout frame that can power smooth arcs through any conditions. But where these slender senders really shine is on the piste. The Brahma 82s rail like a race ski, pivot edge to edge with ease, and thanks to a tiny bit of rocker in the back, you can release the tails and slarve out any shape you need when the conditions aren't ripe for hip dragging turns.",All-Mountain,Intermediate-Advanced,Rocker/Camber/Rocker,Short,Flat,"Carbon, Metal, Wood",1 Year
Ski,Elan Ripstick 94 Skis - Women's 2023,$649.99,https://www.evo.com/skis/elan-ripstick-94-womens,"Magic on the mountain is more than just snowflakes falling tenderly on your glove, sometimes its clipping into a pair of Elan Ripstick 94 Skis and feeling them grip the snow beneath you on every turn. Thanks to Elan's signature Tubelite Wood Core that provides torsional stability and supreme response, variable snow, moguls, groomers, and chop don't stand a chance. The Elan Ripstick 94 skis are almost better than a pow day... Almost.",All-Mountain,Intermediate-Advanced,Rocker/Camber/Rocker,Short,Flat,"Carbon, Wood",2 Years
Ski,Black Crows Camox Skis 2023,$799.95,https://www.evo.com/skis/black-crows-camox-2023,"The Black Crows Camox Skis embody the soul of all-mountain resort riding. These skis are meant to enable fun, stylish skiing all across any resort in any conditions. They do this with a versatile 97mm waist width, a smooth yet stable flex profile, and a perfectly honed directional rocker profile with camber underfoot and rocker on wither end. It's a ski that's playful, poppy, poised, and very easy to get along with.",All-Mountain,Intermediate-Advanced,Rocker/Camber/Rocker,Medium,Partial Twin Tip,Wood,2 Years
